guest,word,score
黄圣依性格,讨厌,-3.21533460349
黄圣依性格,喜欢,2.3566957262
黄圣依性格,道理,0.221747418403
黄圣依性格,爱人,1.9606614446
黄圣依性格,碎,-1.75700888809
黄圣依性格,教养,-0.236080795217
黄圣依性格,温和,2.44420583
黄圣依性格,忍耐力,-1.85522163669
黄圣依性格,成功,1.57591796087
黄圣依性格,讨厌,-3.21533460349
黄圣依性格,爱人,1.9606614446
黄圣依性格,完全,-0.732156895064
黄圣依性格,喜欢,2.3566957262
黄圣依性格,好,2.07329376355
黄圣依性格,温和,2.44420583
黄圣依性格,不争,-1.04350768399
黄圣依性格,崩溃,-3.62508466442
黄圣依性格,有钱,-0.596104427648
黄圣依性格,起来,-0.313368979286
黄圣依性格,窒息,-2.43130571485
黄圣依性格,需要,0.441937124228
黄圣依性格,放弃,-0.282460992566
黄圣依性格,自我,0.484853567827
黄圣依性格,好,2.07329376355
黄圣依性格,无奈,-1.77939806304
黄圣依性格,其实,0.162622900364
黄圣依性格,很多,0.590056545724
黄圣依性格,爱人,1.9606614446
黄圣依性格,自信,1.49991685227
黄圣依性格,果断,-0.462413419515
黄圣依性格,强势,1.48931241794
黄圣依性格,对抗,0.715692529322
黄圣依性格,决定,0.257593624325
黄圣依性格,完全,-0.732156895064
黄圣依性格,根本,-1.027889243
黄圣依性格,知道,-0.316330302785
黄圣依性格,喜欢,2.3566957262
黄圣依性格,可怜,-2.38414056376
黄圣依性格,怀疑,-1.24975065406
黄圣依性格,不错,2.65135097006
黄圣依性格,爱人,1.9606614446
黄圣依性格,死,-1.45279509002
黄圣依性格,冷静,-0.0957668923835
黄圣依性格,开心,2.61234173173
黄圣依性格,漂亮,2.23552351188
黄圣依性格,冷若冰霜,-1.02384448168
黄圣依性格,教养,-0.236080795217
黄圣依性格,好,2.07329376355
黄圣依性格,欢笑,1.07055018686
黄圣依性格,清醒,-1.47050672345
黄圣依性格,娱乐,1.28942540249
黄圣依性格,爱人,1.9606614446
黄圣依性格,爱人,1.9606614446
黄圣依性格,通透,2.0
黄圣依性格,希望,1.03220855601
黄圣依性格,达到,1.51074700685
黄圣依性格,理想,2.25142928373
黄圣依性格,通透,2.0
黄圣依性格,确实,0.0781768333788
黄圣依性格,不好,-1.38899748421
黄圣依性格,争辩,0.0376450757707
黄圣依性格,平静,1.15690244538
黄圣依性格,改观,0.587231383956
